-nan nan
7.76393 75.4624
12.4899 106.067
7.12087 72.1824
28.7357 194.153
6.6153 69.5119
8.6538 80.6487
5.97021 63.9407
14.1279 124.224
81.5201 517.385
9.28426 90.8134
25.2666 172.569
7.9102 78.3335
34.7916 223.324
17.2459 134.347
10.1825 94.259
76.5691 434.593
21.2964 152.927
9.92358 89.916
13.6142 117.982
10.4089 93.4506
9.58891 86.1617
5.41346 60.5231
13.8821 116.199
15.3647 121.399
8.60991 82.9484
12.7696 104.465
6.29871 66.1066
20.9189 158.345
6.76463 69.7207
15.2903 121.376
7.91032 75.6331
43.6635 292.29
13.9484 119.918
18.1437 134.212
8.48511 80.7893
12.156 105.585
12.885 114.412
8.12617 77.0088
10.6235 91.5286
9.47579 87.5438
16.877 130.641
27.1244 181.908
5.48094 60.6179
25.0105 187.415
10.8042 101.08
18.9872 140.535
12.5667 113.86
8.30338 82.5266
23.9213 172.966
9.65776 87.4828
15.046 119.145
41.0498 273.703
9.47467 86.7414
5.65643 62.1623
10.9613 96.3004
27.3001 190.7
6.95081 70.4508
6.09837 65.2883
17.0604 147.987
10.7201 94.3805
5.80946 62.5656
23.4472 169.294
11.3638 103.285
7.48289 73.9601
7.27113 74.635
19.4929 148.627
50.4173 317.279
8.43369 79.8783
12.3483 102.415
36.9546 246.899
10.1612 89.2821
25.6873 185.805
12.9919 107.488
25.6286 179.008
21.7151 162.217
7.47201 74.474
11.4093 99.3007
4.61749 54.0903
5.32112 60.3018
14.4574 119.857
6.11508 65.2467
10.0892 90.6576
6.54515 67.8352
10.8596 94.1516
14.3045 119.819
9.9383 90.946
7.37408 72.8138
15.834 123.534
13.082 115.734
9.34589 86.5182
21.4956 157.835
16.4039 126.847
27.5603 188.219
13.6036 110.536
30.0167 215.037
9.47055 88.1931
10.3272 92.2897
11.8305 102.413
7.11802 74.6447
10.7761 99.0959
19.8205 155.188
5.54598 61.2564
21.8085 165.705
19.6337 156.65
12.7617 106.326
8.31325 80.8461
12.6315 104.256
25.8827 186.767
8.54608 80.0123
8.66077 83.1806
18.7898 147.827
11.0265 96.2734
10.7086 94.7495
22.6521 173.879
9.44978 87.9022
40.2937 272.023
17.6079 131.405
25.4403 179.715
18.0432 141.332
9.25908 84.0232
6.51089 68.7165
12.7285 103.731
13.4848 117.382
4.69334 55.671
21.252 166.779
45.0666 318.11
23.4256 168.266
9.64132 88.1789
12.6256 107.388
15.8098 127.715
13.2365 109.523
6.13514 65.3453
15.2629 119.868
10.2154 90.8456
20.122 164.884
38.2755 243.748
15.1428 121.413
34.5309 283.159
13.0186 110.879
10.762 93.0948
7.06288 73.5545
13.5718 113.928
9.29467 87.1819
6.06218 64.8676
7.29132 74.0473
13.914 110.275
4.91293 56.0325
68.5833 412.991
12.982 107.099
36.0868 262.895
9.0724 86.7222
31.1576 218.5
12.8086 108.178
12.2046 108.819
24.6296 179.066
38.6201 274.686
7.65569 74.1368
11.758 100.925
6.61241 68.4557
7.89384 76.2248
12.8187 108.787
8.89725 84.0108
20.3081 170.353
29.2843 204.754
11.9998 102.655
13.3944 112.804
5.41265 58.9282
8.30406 80.3381
10.4758 91.0773
11.0904 97.7192
7.74517 73.3842
6.36081 67.024
50.8307 373.517
21.8094 157.386
22.9224 177.3
10.7754 92.7335
8.40459 80.4627
6.81218 69.3119
4.79182 55.7787
11.514 102.479
8.29217 80.806
7.4567 75.0978
9.32905 84.2582
21.8228 153.407
10.6563 91.9247
27.9501 191.598
14.9722 120.974
15.6141 123.384
23.5641 172.458
6.81029 68.7127
18.9536 148.215
22.0919 160.875
21.5159 163.63
6.41176 67.7891
26.2639 191.522
9.05443 85.5199
11.5104 98.4694
19.8046 146.169
18.3418 146.624
7.1923 74.1088
21.1577 157.801
27.5192 212.935
9.92258 87.5261
31.5645 210.024
7.43888 73.8621
7.69865 73.6253
10.7038 93.4373
7.26409 73.8806
9.10226 83.8256
8.36076 81.7371
11.8768 101.501
5.58997 62.0407
9.38217 88.9379
355.283 1992.61
17.682 131.67
14.9693 117.48
26.2783 187.033
7.58349 76.683
47.9719 329.856
5.88507 63.4619
15.5596 122.288
8.78939 80.9923
5.47004 61.0415
19.3395 144.745
9.38627 83.0718
7.47899 73.1122
16.1806 125.719
12.8149 112.58
10.5128 92.0507
11.0906 98.2661
30.2657 215.384
21.2989 168.808
5.76669 62.1858
10.0889 92.6236
16.4737 132.662
21.4458 161.745
20.9347 157.134
13.7884 117.025
7.43711 75.6203
10.5233 96.3424
15.5542 122.293
8.15444 78.9039
10.4517 93.1559
6.46275 68.6265
9.07696 84.8317
13.826 116.02
6.20306 64.9276
